DATAFLOW,LAST UPDATE,freq,product,nrg_cons,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Moldova,2025-S1,0.2156,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Montenegro,2025-S1,0.0973,p,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,North Macedonia,2025-S1,0.1144,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Malta,2025-S1,0.1244,p,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Netherlands,2025-S1,0.2342,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Norway,2025-S1,0.1986,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Poland,2025-S1,0.2559,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Portugal,2025-S1,0.2390,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Romania,2025-S1,0.1918,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Serbia,2025-S1,0.1102,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Sweden,2025-S1,0.2654,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Slovenia,2025-S1,0.1810,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Slovakia,2025-S1,0.1887,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Türkiye,2025-S1,0.0617,,
ESTAT:NRG_PC_204(1.0),21/11/25 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Kosovo*,2025-S1,0.0766,,
